ID,Bacteria,Fungi,Actinomycetes,G+,G-
DH01,10.25064862,0.170066836,1.703470954,3.551251638,4.525599848
DH02,10.24704522,0.111934167,1.288989347,3.753846057,4.924620883
DH03,9.722703424,0.14309298,1.809620946,3.069298661,4.694645968
DH15,11.74427415,0.159134698,1.749371847,3.897644479,5.399110081
DH16,9.415608226,0.144238388,0.895511859,3.41021398,4.042261765
DH17,14.04539035,0.178646729,1.748174638,5.165899094,6.129228692
DH29,29.10048079,0.441923692,2.615010107,10.26376893,14.23394686
DH30,20.88959869,0.363845414,2.046238645,7.615036746,9.758828683
DH31,19.66924869,0.41205097,2.684911028,7.21116262,8.836536378
DH43,1.512047315,0.046227759,0.169991431,0.500264352,0.636553393
DH44,34.09981815,0.682823803,3.158884998,14.14683314,12.86200609
DH45,2.079088441,0.080884741,0.288283908,0.419964269,1.20584456
DH55,31.13223423,0.769667194,2.326112145,13.04456433,12.90686153
DH56,101.4205957,1.717975781,7.487818369,38.96206421,41.09674398
DH57,58.7830764,1.283988817,4.201105665,22.49292528,24.65628306
DH67,41.02394445,0.293492775,2.735471945,15.64433492,18.46162336
DH68,10.32209416,0.14067019,1.000306328,1.876630053,7.087703398
DH69,41.93405199,1.011174077,2.970285714,16.97459509,17.5114195
HDX003,10.1625501,0.187794887,1.0090532,3.460517868,4.853508082
HDX008,6.732050588,0.280226454,1.130339603,2.294503975,3.06065299
HDX012,19.96175772,0,2.014928528,6.645758194,9.033119566
HDX022,18.64286312,0.313069653,1.843865098,7.702286798,7.729312584
HDX023,8.560721675,0.138203705,1.090298261,3.133661366,3.670553309
HDX026,9.140752839,0.173316704,1.141133109,3.273588743,3.941336041
HDX034,13.87625878,0.417791388,1.84516545,4.627298374,6.385871768
HDX039,13.72454797,0.261743758,1.542275642,5.434993537,5.289142448
HDX040,19.26725324,0.560234765,2.221826089,6.522248203,8.702165391
HDX049,19.22685858,0.236010042,2.374402756,7.931502003,7.569263833
HDX053,37.1095254,0.59262732,3.415737055,14.86616315,13.38616466
HDX057,6.154066995,0.124814048,0.76167802,2.173033232,2.935836008
HDX063,52.92984848,1.182995102,3.950546264,19.86232437,20.97457474
HDX064,46.75606519,0,3.279256412,19.05987953,19.7843968
HDX068,61.87013213,0,5.881220613,24.86232825,24.10046885
HDX080,19.86751501,0.791970964,1.87164071,8.020070875,8.134567519
HDX082,33.37211617,0.755768599,3.119506615,11.7697729,15.62301969
HDX085,23.63634908,0.50660561,2.459504546,8.730577203,10.71934714
HDX098,42.72863894,0.771489271,3.557443358,15.09748202,20.06062517
HDX101,99.79735945,2.266587644,7.660733001,37.97614926,41.83472504
HDX102,56.85527278,0.827974749,4.243639722,20.04875145,25.11983029
HDX112,42.40573882,0.586136933,3.595484194,17.77046587,18.22056647
HDX113,61.94168312,1.261207104,4.393176209,25.89141505,26.06930283
HDX114,113.2366618,0,8.851476066,45.32155165,43.18845522
HDX123,57.92785422,0,4.633535014,23.25806435,23.0391924
HDX128,66.41810836,1.635350768,5.623922414,27.6743772,30.07343299
HDX131,91.58004233,0,6.766170035,40.5539178,31.79586343
HDX137,65.26907995,0.387979858,4.770505346,25.02066942,28.21873904
HDX143,55.48013239,0,4.109889315,23.59542868,20.77578793
HDX144,44.82605663,0,3.564103588,17.98525376,19.26223639
