"","ele.tmp","cv_values","asy_values","pv_values"
"1",4400,0.32628818003648,2.8655123568568,0.230704615825996
"2",4500,0.24321253559693,1.23927469240384,0.233368448915019
"3",4600,0.461873753949709,0.929348281787465,0.417157697079588
"4",4800,0.752684430870501,0.839334743675743,0.619116866092994
"5",4900,0.448877572909703,1.06051773122664,0.398226318903895
"6",5000,0.660145044935751,1.4802543718846,0.494060851183185
"7",4300,0.53014194446434,1.44168806580601,0.468378778436177
"8",4700,0.150389294625258,1.16391302283587,0.177529475323249
"9",5100,0.235541993668514,1.34742256512858,0.252913910797049
"10",5200,0.181270039842471,0.977159385520962,0.21416863572214
