"","Sites","Biomass","Spe.num"
"1","DH01",109.807862674437,118.25
"2","DH02",109.587441754003,91
"3","DH03",97.6274530427512,102.25
"4","DH04",80.6651401626561,123.75
"5","DH05",80.8294183404592,141
"6","DH06",95.1177296925,114.25
"7","DH07",83.5124217227593,94.5
"8","DH08",95.1017372522455,71.75
"9","DH09",97.8492307052686,129.25
"10","DH10",95.8265355888916,157.75
"11","DH11",105.382372907718,95.75
"12","DH12",95.7857809557964,168.25
"13","DH13",43.0389400341613,112.25
"14","DH14",157.315597211298,30.25
"15","DH15",88.3136062489911,218
"16","DH16",55.2936302980682,69.75
"17","DH17",55.0470868425,170.25
"18","DH18",34.77614249875,176.25
"19","DH19",75.847195975,199
"20","DH20",94.9625074984562,240.25
"21","DH21",60.7122199493242,143.25
"22","DH22",68.8978412927196,117.5
"23","DH23",70.3605441579009,43.75
"24","DH24",62.0663188226448,69.75
"25","DH25",56.1760304066522,24.5
"26","DH26",61.2601084968458,66.75
"27","DH27",68.8952163512693,52.25
"28","DH28",54.7938289008218,34.5
"29","DH29",110.425796253033,86.5
"30","DH30",69.4282018597671,170.75
"31","DH31",114.6606726443,132.75
"32","DH32",96.43286594117,120.5
"33","DH33",54.2956564758,160.25
"34","DH34",84.322107433084,201.25
"35","DH35",110.493877410742,126.5
"36","DH36",27.8236943703246,195
"37","DH37",83.0538993748852,177.25
"38","DH38",69.2556384310004,210
"39","DH39",85.5917702505811,90
"40","DH40",260.379582516512,46.75
"41","DH41",54.0957989133448,22.5
"42","DH42",34.9880002522161,222
"43","DH43",293.637229890189,90.75
"44","DH44",308.535202446058,79
"45","DH45",443.666112059868,186
"46","DH46",310.409988351378,68
"47","DH47",310.751398524806,147
"48","DH48",252.752746293855,221
"49","DH49",512.612737412851,82.75
"50","DH50",328.244518504984,352
"51","DH51",264.919250602106,240.75
"52","DH52",261.572098074124,251.75
"53","DH53",274.958407442099,188.5
"54","DH54",245.940684994621,203.75
"55","DH55",20.2433185995543,148.25
"56","DH57",190.628170961875,0.25
"57","DH62",190.578131261642,1
"58","DH63",190.590016697712,0.5
"59","DH66",20.1744568728733,203.25
"60","DH67",190.676832971434,0.25
"61","DH69",190.579213684874,0.75
"62","DH71",20.0904745011078,402.25
"63","DH72",190.632328850307,2
"64","DH74",190.586080865101,1.25
"65","DH75",205.306400572464,3.25
