"","gp","slope","Ine","p","r2","sig"
"1","K",0.763402221890597,0.768336437878393,0.424657594192039,-0.0390826622470146,"F"
"2","L",-1.06215348710177,2.17512571370813,0.374455220546518,0.0204144460224409,"F"
"3","O",0.126769242010829,1.01387429397391,0.738215090957539,-0.276148663501451,"F"
"4","P",1.56625696541606,-0.178851087927569,0.0117809380458104,0.880023062726563,"T"
"5","AG",1.3056437494801,0.567522190407739,0.00467310777097165,0.934665217769825,"T"
"6","AH",3.04508474371099,-1.30704703059051,0.201319043175323,0.293441060288827,"F"
"7","C",0.73440476197124,1.10127070521793,0.188055314146186,0.320133638288118,"F"
"8","D",-0.845771283269537,2.0089497616023,0.760057673209152,-0.285406351326417,"F"
"9","G",-0.374108270082684,1.25444220874309,0.598334502331858,-0.195883372198947,"F"
"10","H",3.64179803454669,-1.57559300104069,0.338775218134103,0.0673235808896351,"F"
"11","U",1.32955020298347,0.719636940414815,0.023011416699232,0.814537568091452,"T"
"12","V",1.52421966458647,0.0109190118394142,0.415592265797886,-0.0288670468855301,"F"
